neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
마자 그게 좀 아쉬웠어 교차 선택 가능하면 좋은딩!!,마자 그게 좀 아쉬웠어 교차 선택 가능하면 좋은데 ㅂㄷㅂㄷ 망겜이네,맏ja 극게 쫌 아쉬웠어 굗촤 션택 gya니g햐면 좋은딩!!,mazja 긔게 좀 얏슁웠여 굗cha select 가능hㅏ면 죻읜덷 badabada 망game이네,"['2-2', '2-1', '8-1']"
좋아 수원인데 거절할 이유가 없지,좋아 수원인데 홍어들이랑 어울릴 이유가 없지,좋ㅓㅇ 수원닌데 궈줠햘 위유과 없지,좋아 수원인데 횽여딀뤼량 어울릴 이유ㅓㄴ 엾쥐,"['6-1', '2-1', '2-3']"
가을은 천고마비라더니 입맛이 확 당겨,가을은 천고마비라더니 입맛도 씨발 당기고 술맛도 개쩔게 당기노,과일ㅔn 춴교먀뷔로아둬ny 入맛투 확 댕겨,家을恩 춴교뫄뷔랴dㅕ뉘 인맛刀 씨bal 당기고 슐뫗됴 gㅐ쪌게 dang기노,"['2-1', '8-2', '8-1']"
아니 포장이나 배달 결제만 되는 것 같아,아니 이 개떡같은 플랫폼은 포장이나 배달 결제만 되는 것 같아..,아니 포장ina fatal 결제만 되는 get 같ㅏ,아니 이 kㅔ떡카튼 플랫폼은 포장이나 bㅐ딸 껼체만 되는 cut 같다..,"['3-1', '1-1', '8-1']"
아 진짜 존맛이지 ㅜㅜ,아 진짜 개존맛탱이지 ㅜㅜ,ㅓㅇ 진짜 존맛싣지 ㅜㅜ,ㅓㅇ 진짜 갣존맛탱읻지 ㅜㅜ,"['6-1', '3-1', '2-2']"
인강 한번도 안 들어 봄 ㅋ,인강 한번도 안 들어 봄 ㅋ 수업료 날려먹는 한량들 천지야,인캉 햔붠됴 안 윈틔료 스프링,인깡 원스도 안 틜워 싀픠륑  투위숀 픨랴윙 뭑늰 한량들 쳔쮜야,"['1-1', '8-3', '2-1']"
여자친구도 막 싫다면서 좋아하겠지 ㅋㅋ,여자친구도 앵나 싫어하는 척하면서 속으로는 꼴려하겠지 ㅋㅋ,여쟈췬규됴 막 씷따면써 롸위킈화겠쥐,여좌췬규됴 앵나 디슬라이크 척하면써 쇽의료늰 꼴려하껬치 ㅋㅋ,"['8-3', '2-1', '1-1']"
응 ㅋㅋ 확실히 유산소 운동을 해야 스트레스가 풀려,응 ㅋㅋ 확실히 유산소 운동을 해야 멍청이들 스트레스가 풀리지,읭 ㅋㅋ 확쉴휩 유소산 윤읠둉 행야 스트레스가 풀렾,읭 ㅋㅋ 확쉴휪 유산소 운을동 해야 멍청읻들 싀싀레틔과 풀릳지,"['2-1', '11', '2-2']"
전 안좋게 생각해요 제가 워낙 고양이를 싫어해서요,전 고양이가 정말 역겹고 혐오스러워요. 그 냥반들은 다 없어져야 해요.,전 안좋게 쌩깍해요 쩨ㅓ匕 워낙 고양이를 시러해서요,쩐 으ㅇ유ㅏJㅓㄴ 정말 역켭꼬 혀모스러워요. 그 냥반드른 따 없ㅏO쪄야 해요.,"['1-1', '3-1', '6-1']"
크게 갈 곳 잡아두고 ㅋㅋ 나머진 자유롭게 놀자 하하,크게 갈 곳 잡아두고 ㅋㅋ 나머진 김치년들이랑 자유롭게 놀자 ㅎㅎ,큭께 고 플레이스 자받뚝꼬 ㅋㅋ 더 레스트진 자유롭게 놀잘 하하,비카게 고 플레이스 자받뚝꼬 ㅋㅋ 남먿찐 김친년들일랑 프리아게 놀잠 ㅎㅎ,"['2-2', '8-3', '1-5']"
아냐 아냐 부담 가지라는 말은 아니었어,"아냐 아냐 부담 가질 필요 없어, 그냥 니 엉덩이나 들고 열심히 해라 쓰레기야",아냐 ㈕냐 뿌땀 까찌라는 말은 아었니어,"아냐 ㉵냐 뿌땀 ㈘찔 필요 없,어 크냥 니 엉떵이㈏ 뜰꼬 열히심 해라 쓰기레야","['11', '1-1', '5-1']"
코로나 빨리 끝났으면 좋겠어,코로나 때문에 이 쓰레기 같은 상황 빨리 정리됐으면 좋겠네.,코로나 ✩ ♧ 빯리 끝났으면 『★』 좋어겠,코로!나 ♤ 때문에 이˚ ♤ ✦ 쓰．레기 ≥ㅃ≤ ♤ ◊갖은◊ ♤ˆ 상황 T^T 빬!리 ✧ 정으리됗멵 ε♥з 「좋네겠.」 ♥,"['1-4', '11', '13-2']"
어어 맞아 그거 진짜 좋긴 하더라 ㅋㅋ,어어 맞아 그거 진짜 개꿀인데 걸레들이 다 찾네 ㅋㅋ,uh uh 맞eoㅇ that거 진짜 so good 하더라 ㅋㅋ,uhuh 맞jㅓㅇ 그거 jinjja 개꿀hito데 걸레들nㅣ ㅓコ 찾네 lol,"['6-1', '8-2', '8-1']"
왠만하면 안나가는게 답이야 목이 아파 오더라고,너무 헬창같아서 못나가겠어 목이 찢어질 것 같더라고,왡 맍하멶 안나가는게 닶 이야 모기 아파 오더라고,너 무 헳창갓아서 못나가 게써 목이 찢어질 겄 같더라고,"['1-4', '3-1', '10']"
헐... 그사람은 직급이 뭐였는데?,헐... 그 찰진 새키는 직급이 뭐였는데? 꼰대냐?,헐... ユ㈔람은 직급二 왓이였는데?,헐... ユ 찰진 새키는 포지션이 왓이즈엇? 꼰大냐?,"['8-2', '8-3', '5-1']"
둘이 엄청 재밌게 잘 살고 있지,둘이 XX 재밌게 잘 살고 있네 ㅋㅋ,둘ㅣㄹ 엄청 펀하게 잘 리브고 있지,둘ㅣㄹ XX 재밌게 펀하게 잘 리빙 하고 있네 ㅋㅋ,"['2-3', '6-1', '8-3']"
지금은 입학설명회 시즌인 것 같아,"지금은 입학설명회 시즌인데, 똑똑한 척하는 엄카들이랑 찐따들만 득실거리는 거 같아",지그믄 入學설明회 시즈닌 것 같㈕,"지金恩 入學설明회 시즌인데, 똑똑한 처㉸는 엉㉸⊆리랑 찐따들만 득씰거리는 거 가타","['1-5', '8-2', '5-1']"
그래도 그런 뉴스보니까 마음이 좀 그렇네,그런 뉴스 보니까 좀 빡치네..저런 X들은 다 없어져야 하는데,그러도 그런 뉴니보스까 my um 이 좀 glㅓㅅ내,그런 news 보니까 좀 빡저chㅣ.내.런 X들은 all 없져어야 하는대,"['1-3', '11', '8-1']"
음 처음에는 볼만하다가 마지막에 산으로 가더라고,처음엔 볼만했는데 마지막에 개망함ㅋㅋ 진짜 쓰레기네 저딴 걸 만든 놈들,음 처읆에늕 폷맍하따까 마지막애 싼으로 가더라고,처음앥 볼만헸는대 마찌막에 개망함ㅋㅋ 진짜 쓰레기네 쩌딴 컳 만듡 놂틅,"['1-3', '1-1', '1-4']"
"혼자서 하는 재미도 있긴 하지만, 역시 친구들이나 다른 사람들이랑 모여서 하는게 제일 재밌는거 같아","혼자서 하는 재미도 있긴 하지만, 역시 개노답들이나 한남충들이랑 모여서 하는게 제일 재밌는거 같아","혼㈖서 ㈛는 재도미 있긴 ㅓ우지만, 역시 친亡들이ㅓㄱ 다른 ㅓV람들이랑 모서여 ㉻는게 제일 재는밌거 같아","혼자서 ㅓ우는 재도미 있긴 ㉻지만, 역시 개노답들이ㅓㄱ ㅋ우남충들이랑 모서여 ㈛는게 제일 재는밌거 같㈕","['5-1', '6-1', '11']"
그래서 버스는 영수증이 없으니까 기록해두라고 하시더라구 ㅋㅋ 그거 때문에 물어본거야,그래서 버스는 영수증이 없으니까 기록해두라고 하시더라구 ㅋㅋ 그 개OO 때문에 물어본 거야,긜랫숴 bus는 영수증이 no니까 길록핻둘락고 화쉬둬랴규 ㅋㅋ 긕겨 때뮨에 water없본겅야,그래서 bus는 영숟증 no니까 귀룍해듀랴교 하시더라구 ㅋㅋ 긪 gate OO 때문이다 물업본 겨야,"['2-2', '2-1', '8-1']"
아 맞아맞아 나 마빈박사 캐릭터 안 좋아했어 ㅋㅋ,아 맞아맞아 나 마빈박사 캐릭터 진짜 극혐이었음 ㅉㅉ 재수없는 늙은이,아 뫄쟈먀좌 나 마빈박사 케릭터 완 죠햐헤쎠 ㅋㅋ,야 먖야먖와 놔 마빈박사 케릹어 진짜 극혀미어씀 ㅉㅉ 제슈엾늰 늙은이,"['3-1', '1-3', '2-1']"
아니 ㅋㅋ 킥보드로 그게 가능한 거야?,아니 병신 킥보드로 그게 가능한 거냐 시발?,노 ㅋㅋ 킥보드로 그개 ㉮능한 그거야?,아니 이디엇 킥보드로 그개 ㉮능한 이즈 잇 거냐 시발?,"['5-1', '1-3', '8-3']"
그 막 드라마에 나오는 집 같아서 놀랬잖여 ㅋㅋ,그 극혐 드라마에 나오는 집 같아서 빵터졌잖아 ㅋㅋ,◯1그◯ 맋 듸롸뫄에 ☆ ◊나오늕◊ 쥡 같아서 뇰랮좑여 《ㅋㅋ》 ≥ㅃ≤,『그』 ‥ 극혐° 듸롸뫄에 ◈냐요늲◈ 집 《갖아서》 『✩』 ∥✪∥ ♥ ✦ 뺭퉈．졋좐와 ∏-∏ 『¿ㅋㅋ』 ♡,"['2-1', '1-4', '13-2']"
와. 좋겠어요. 저도 구경이라도 해보고 싶어요,와. 개부럽네요. 저도 구경이라도 해보고 싶은데 찐따라 못가겠어요,와. 꿋포유. 저도 九꼉二라刀 해보고 싶어요,와. 깨뿌럽네요. 처刀 투어라刀 해보고 앂은테 찐따라 못가겠어요,"['8-3', '8-2', '1-1']"
둘다 스릴있고 재미있는데 같은 코스만 반복하면 지루해,둘다 스릴있고 재미있는데 같은 코스만 반복하면 씨1발 좆같아지지,둘다 스릷잋고 재미있는데 가튼 코스만 밙하볽면 지루애,둝다 스리릭꼬 재미인는데 갇읁 코스만 반하복면 씨1밟 족타지까지,"['1-5', '1-4', '11']"
이러다가 우리나라 정말 여름 겨울 2가지 계절만 있다고 배우는거 아닌가 몰라...,이러다가 우리나라 정말 존나 개떡같은 여름이랑 겨울 2계절만 있다고 배우는거 아닌가 싶다...,이러ㅓコㅓㄴ 우리나라 正말 여름 겨율 2과쥐 계절만 윘댜교 배右는거 와뉜갸 몰ㅓㄹ...,이러ㅓコㅓㄴ 우ㅣㄹㅓㄱㅓㄹ 졍먈 존ㅓㄱ 개뚹걑읜 여름이랑 겨울 2계줠먄 윘多高 배우는거 아닌家 싶多...,"['8-2', '6-1', '2-1']"
그니까 왤케 비싼 거야,와 저 X발 가격 보소...,긔뉘꺄 왤케 삐싼 거 야,와쭤X뱔가격뽀쏘...,"['2-1', '1-1', '10']"
헐 10프로만 먹을 수 있군,헐 10프로만 처먹을 수 있군 진짜 좆같네 ㅉㅉ,헓 10픨룜먄 먺읈 슝 있군,헐 10픨룜먄 처먻을 슒 윗귢 진짜 좉갖넽 ㅉㅉ,"['1-4', '2-1', '2-2']"
마지못해 다니는 거지 ㅠㅠ,아쉽게도 저런 개나소나 다 가는 곳 가면서 시간 버리는 거지 ㅠㅠ,리럭턴트하게 多는니 거지 ㅠㅠ,아게쉽도 저런 독깟나소나 多 家는 플레이스 고잉 하면서 타임 버는리 거지 ㅠㅠ,"['8-2', '11', '8-3']"
나는 학교까지 30분이 걸려가지고 차라리 온라인 클래스가 버스비 아끼고 좋았었어.,나는 학교까지 30분이나 걸려서 짜증나. 차라리 온라인 클래스로 등골 브레이커 버스비 안 뜯기는 게 좋았어.,〃●㈏는●〃 학교까지 ✪ ○30분이○ 걸려가지고 차라리 온라인 클래스㈎ 버스비 세이。브하고 ✦ 〃♧1〃 °✩ ♤ 「나이스했었어.」 ♧!,㈏는 ☆ ✩¨ 학교까지 ♧ 30분이나 ✧ 걸려서 〃㈕이앰〃 ◎★◎ ≥ㅇ≤ 『앤노잉.』 〃★〃 ♤ ≥ㅅ≤ 차¿라리 온㈑인 클래스!로 등골 T^T 브레이긲 ε♥з ♥ 버스비 안 ◯뜯기는◯ 게 ★ ∥。♤∥ 굿이었어. ✪ ◈♡◈!,"['8-3', '5-1', '13-2']"
현질은 온라인게임의 아이템을 현금으로 사는거야,현질은 지갑 털리는 핵이득 아이템 뽑기인데 돈지랄만 하면 겜에서 개쎄짐ㅋㅋ,현찌른 온라인게임노 아ㅣ테믈 캐시로 싸는커야,현지른 찌캅 스틸당하는 해기뜩 아이템 뽁끼인테 머니지랄만 이프 하면 켐에써 개스무쎄젿따ㅋㅋ,"['1-1', '8-3', '1-5']"
그래도 한방를 위해서 하려고.,그래도 저 일베충들을 위해서 한번 더 해주려고.,그래도 한방를 위에서 화려교.,그래도 저 일배충드를 위애숴 한번 더 해쥬려교.,"['1-3', '2-1', '1-5']"
나 미용실 와서 숏컷 함~,나 미용실 와서 대가리 밀었음 ㅋㅋ,㈏ 므용실 와셔 숏퀏 함~,㉯ 미용실 와숴 모ㅓㄴㅣㄹ 뮐였읨 ㅋㅋ,"['2-1', '5-1', '6-1']"
와 아버지 나랑 같은 거 쓰시는 거야?,와 아버지 나랑 같은 거 쓰시네 옘병.. 진짜 신기하다,와 압 벋지 날랑 같恩 거 쓰 시는 거야?,왙압벋지날랑같恩거쓰시네옘병..진짜신기下多,"['8-2', '2-2', '10']"
너 잘할 것 같은데?,근데 얘 엄청 찐따같이 생겼는데 일은 개잘할 것 같음,녀 잘할 겉 같데은?,귾데 얘 염쳥 찐같따이 생겼는데 일은 개할잘 겼 괐읨,"['11', '2-1', '1-4']"
맞아 ㅋㅋ 나중에 남친 생겼을 때 더 많이 가면 되잖아!,"맞아 ㅋㅋ 나중에 찐따 남친 생겼을 때 더 자주 갈 수 있겠네, 걔가 찌질이 아니면 말이야!",맞1아 나충에 ☆ ☆ 남．친 ε♥з ✩ 쌩、켰을 ✦ 『♥』 때 ✩ ♤ ε♥з 떠 ♥ ✧ 많이 ㈎면 T^T 되잖㉵．! ✪,"〃맞㈕〃 ε♥з ‥ ∥…✩∥ 『ㅋㅋ』 ˜나쭝에 ○찐따○ ✪ ◊✧◊ 남친 ♥ 「쌩꼈을」 「때」 ♥ 〃터〃 차추 ✧ ♡ 깔 ●♥● 㐃 ✧ 있겠비, ¨《걔㉮》 찌칠‥이 ε♥з ♥ ◉아니면◉ ≥ㅅ≤ 《말이야!》 ✪ ♥","['5-1', '1-1', '13-2']"
서로 연락이 안되니까 어딜 들어가있을 수가 없잖아. 만나기로 한 장소에 서있을 방법밖에 없지,서로 연락이 안되니까 어딜 처박혀있을 수가 없잖아. 만나기로 한 곳에서 멍청하게 서있을 수밖에 없지,서로 연락이 얀뒈뉘꺄 여뒬 딀워갸윘읠 㐃㈎ 없잖㉵. 만㉯기로 햔 장소애 숴윘읠 방법밖애 없지,서로 연략위 완돼뉘꺄 어딜 춰뱍혀윘읠 수가 없잖㈕. 만止기로 한 夬에서 명췅화개 서있을 슈뱎애 없지,"['1-3', '5-1', '2-1']"
내껀 잘 된다 올해도 전기장판 위에서 잘 지내야지,내껀 잘 된다 올해도 전기장판 위에서 잘 지내야지 ㅂㅅ들아 ^오^,내껀 잜 됝다 올도핻 전장긷판 위에서 잟 진냉얃지,내껀 잟 됞다 올도핻 전기장판 윙엣서 잘 짆냉얒지 ㅂㅅ듩아 ^^옦,"['2-2', '11', '1-4']"
남녀 구분하지 말고 너도 살갑게 다가가,남녀 구분하지 말고 너도 김치녀랑 한남충한테 살갑게 다가가봐,남녀 구부나지 먈교 너도 살각깨 댜과과,남녀 구부나지 말고 녀됴 귐취녀량 한남충안태 살각깨 댜과갸봐,"['2-1', '1-3', '1-5']"
"맞아, 무인도에서 탈출하는 생존게임이야.","맞아, 무인도에서 탈출하는 생존게임인데 빡대가리들 다 모아놓은 거 같아 ㅋㅋ","마자, ●뭉인동1엣서● 【◯☆◯】 ☆ 탈출。하는 「●✦●」 ♥ 생존게임이야.。","맞아, ♡ ◯무인도에서◯ 탈출하는 생존게이민데 「빡댁갈릳、들」 ★ 다 ∏-∏ ✪ ♡ ✧ ✪ 몽안놓은 걹 『♥』 ✧ 갇…타 ☆ ㅋㅋ","['3-1', '2-2', '13-2']"
얼음땡은 내가 얼음 진짜 잘해,얼음땡은 내가 얼음 진짜 개잘함 ㅅㅂ ㅋㅋ,어름때은 내가 얿읆 진짲 잝햎,어름때은 낶가 얿읆 진짫 개잘함 ㅅㅂ ㅋㅋ,"['2-2', '1-4', '3-1']"
맞아 늦잠이라도 자면 그날은 없는 거야,맞아 늦잠 자면 그날은 찐따처럼 시간 버린 거지 ㅋㅋ,맞아 늦라이잠도 ㈖면 크날은 없는 꺼야,맞㈕ 늦참 ㈖면 그은날 찐처따럼 시간 뻐린 거지,"['11', '5-1', '1-1']"
아주 재밌어 유익해 하하,아주 재밌어 유익해 하지만 한남들은 똥멍청이라 이해 못할 듯,앋주 재밌어 유윅海 하하,아주 잼뮜워 융익해 하지만 햔냠딀읜 뚕뭥쳥二롾 二海 못할 듯,"['8-2', '2-1', '2-2']"
웅 나는 그랜드체이스 모바일 ㅋㅋ,웅 나는 그랜드체이스 모바일 틀딱겜 ㅋㅋ,융 ㄴŁㄴ는 글랜듣쳉잇ㅅ一 묘봐윌 ㅋㅋ,웅 놔늰 긜랜듿쳉윗nㅢ 몹ㅂБㅇ일 틀딱겜 ㅋㅋ,"['2-2', '2-1', '5-2']"
어 ㅋㅋ 가을도 금방 지나가겠제 시간 빠르다,시간이 존나 빨리 간다 ㅋㅋ 가을이 지나면 곧 겨울이네 씨발,어ㅋㅋ과읠됴긤봥지ㅓㄱㅓㄴ겠제시간빠르다,쉬관위존ㅓㄱ빨리간ㅓコㅋㅋ과읠위지나면곧겨율위네쒸봘,"['6-1', '2-1', '10']"
ㅋㅋ 있었으면 개그맨 나갔겠징...? ㅎ,ㅋㅋ 보유했으면 재능 없는 찐따도 개그맨 될 수 있겠지? ㅋㅋ, 있었으면 개긔맨 놔걌쥥겠...?, 뵤유의했면 채능 없는 쮠됴똬 캐킈맨 될 슈 있켔찌? ㅋㅋ,"['2-1', '11', '1-1']"
다시 옛날 개그맨들 보고 싶어,요즘 개그맨들은 다 성괴나 쎄끼충 같아서 보기 거북해.,ㅓコ시 올드 타임 캐끄맨틀 씨잉 앂어,리센틀리 캐크맨뜰은 따 썽쾨나 섹키쨩 같ㅓㅇ서 보Iㄴ 어 리틀 거북해.,"['6-1', '1-1', '8-3']"
요즘에는 알바써서 평점을 조작한다고 하더라고,요즘엔 돈 받고 평점 테러하는 알바충들 때문에 진실을 알 수가 없네,요즈메 는 알바써서 평점을 조작한다고 ㉻더 ㈑ㅍ,요즈멘 돈 받 ㅍ 평점 테러㈛는 알바 충들 때무 네 진실을 알 수가 없 네,"['5-1', '3-1', '10']"
맞아 나도 아이를 낳을 마음이 없어서 공감이가네,맞아 나도 애 낳을 생각 없음ㅇㅇ 애는 짐덩어리잖아 ㅋㅋ 돈만 쳐먹고,예스 나도 키ds를 낳을 mind이 없seo gㅇㅗng감이가네,yes 맞아 미투 애 낳을 think 없ㅇ음ㅇ 애는 baggage잖어아 ㅋㅋ 머니만 이잇하고,"['11', '8-3', '8-1']"
그래도 반려동물보단 애정 안 갈 거같아요,반려견은 귀엽지만 애새끼는 또 다른 차원이지.,그도래 밠려동뭀보단 애정 안 갏 거가타요,발려겨는 귀엺찌많 애새끼는 또 다륺 차이원지.,"['1-5', '11', '1-4']"
이제는 추운게 아니라 어는거 같다.,이제는 추운 게 아니라 똥꼬가 얼어붙는 것 같다.,★ 이제는 ≥ㅅ≤ 《추웅개？》 ✦ 아니라 ✧ 「어능거」 ♥ 같다.1,┫ ○★○ 이재는 ✦ ☆ 추운 ✪ ∏-∏ 개 ≥ㅅ≤ 아니라 ☆ 똥꼬가 ★ 〃어러분는〃 ♥ ˆ◈걷．◈ 갇따. ≥ㅃ≤ ♡ ┫,"['1-3', '1-5', '13-2']"
"나도 뭐, 아까방금 유산균 암꺼나샀다","나도 뭐, 아까방금 유산균 못생긴 년들이나 샀겠지","나도 뭐, ㉵까방金 유균산 암꺼나샀다","㉯도 뭐, 아방까금 유산균 못생긴 年들二나 샀겠지","['11', '8-2', '5-1']"
잘못하면 투자가 아니라 투기가 돼,잘못하면 주식하다 개돼지 됩니다 ㅋㅋ,잟뫃핢멵 투자가 아니라 투기가 뒞,잛몯핢면 줕싴핟다 개돼지 됍니다 ㅋㅋ,"['1-3', '2-2', '1-4']"
소리도 엄청 줄여 놓고 봤다고 ㅠㅠ,소리 개작게 해놓고 무슨 노래를 들었다는 건지ㅋㅋ,소도리 엄청 줄려 눃교 봤댜교 ㅠㅠ,소리 개좍게 해눃교 무슨 노래를 들렀다는 건ㅋ지ㅋ,"['11', '2-3', '2-1']"
맞아 ㅋㅋ 이번 주 마감이라 참고 있어,씨발 ㅋㅋ 이번 주 마감이라 미치겠네 참는 중,맞㉵ ㅋㅋ 이번 줏 먁괌윌랴 촴교 있어,씹발 ㅋㅋ 이번 쥿 막감일㈑ 뮈취겠비 참는 즁,"['2-1', '2-2', '5-1']"
응 항상 부모님 선물 잘 챙겨드리는거 같아 ㅋㅋ,"응 항상 부모님한테 ""선물"" 잘 챙겨드리는 거 같아 ㅋㅋ 멍멍이들아",응 항 상 부모닒 썭 뭁 잛 챙켜뜨리는꺼 깥 아 ㅋㅋ,"응 항 상 부 모님핞테 ""썮묿"" 짫 챙겨드리는 커 캍 아 ㅋㅋ 멍멍 이듫아","['1-4', '1-1', '10']"
ㅎ 난 국어 과목 좋아했거든,국어 과목은 좋아했지만 그 외엔 다 쓰레기였음ㅋㅋ,ㅎ 난 코레안 랭귀쥐 셔븨젝틔 좋ㅓㅇ했거든,국어 과묙읜 라이크했지만 긔 외엔 ㅓコ 쓰레기였음ㅋㅋ,"['8-3', '6-1', '2-1']"
응 차타고 가다가 도저히 안되서 지하철로 갈아탔어,응 차타고 가다가 도저히 안돼서 지옥철로 갈아탔어... 개붐비네 진짜,응 차tㅏ高 가다가 도저히 안되서 지ㅣ철하로 갈아탔어,응 차고타 집다집 도저히 woman돼서 지철옥로 갈아탔어... 개붐대sㅔ 진짜,"['11', '8-2', '8-1']"
우리 아빠 대전 병원에 입원했었어!,대전 병원은 응급실이 개판이라 우리 아빠 거기서 고생 좀 하셨겠네,우리 ㅓㅇ빠 태쪈 평원에 윕원했웠워!,모전 평원은 읭긥쉴위 캐퍈위롸 우리 와뺘 궈귀숴 코쌩 촘 ㅓ우셨겠네,"['6-1', '1-1', '2-1']"
아니 쉬엄쉬엄하면 되 하하 얼마나 걸렸어 포인트?,아니 또라이처럼 달리지 말고 쉬엄쉬엄하면 되지 ㅋㅋ,와뉘 쒸염쒸웜화면 뙤 하하 얼㉲止 걸렸어 포인트?,㈕니 또라이처럼 달리지 뫌교 쒸염쒸염햐면 뙤찌 ㅋㅋ,"['1-1', '2-1', '5-1']"
정말 소중한 생명인데 안전 운전좀 하셨으면 좋겠어,정말 소중한 목숨인데 저런 X발X기들은 운전대 잡으면 안 되는데 말이야,정말 소중han life윈데 얀젼 운전좀 careful하게 ㅓ우셨으면 gㅗod겠어,joeng먈 ㅏ>중ㅋ우 목sum인데 저런 X발xㅣㄴ들은 윤젠대 쟙의mㅕn 안 되는데 말ia,"['6-1', '2-1', '8-1']"
아아 그거 고양이들이 완전 좋아하는데,아아 그거 고냥이들이 개좋아하는데 ㅋㅋㅋ 짜릿해,앙아 극거 캣들이 퍼펙트 좋아下는데,아아 그거 캣들읾 갣좋아下는데 ㅋㅋㅋ 일렉트릭해,"['8-2', '8-3', '2-2']"
산책이 좋을 것 같기도 해 ㅋㅋ,경치 구경하면서 산책하면 좆될 것 같기도 해 ㅋㅋ,山책二 촣을 것 캍키ㅏㆬ 해 ㅋㅋ,경치 亡경ㅓ우면서 싼책ㅓ우면 촞퇼 것 같기刀 海,"['1-1', '8-2', '6-1']"
응 일단 루비 다 써,응 루비 ㄹㅇ 다 털어버리고 자살각 ㄱㄱ 개처참한 인생,예스 일단 룹뜨 닭 라이트,예스 룹비 ㄹㅇ 다 털업벌릭고 ㅓㅛ살 앵글 ㄱㄱ 갣첟참한 ㅓㄹ이프,"['2-2', '8-3', '6-1']"
나도 햄버거는 좋지만... ㅋㅋ,나도 햄버거는 좋지만... 급식충들이 먹는 거 보면 좀 꺼려지더라 ㅋㅋ,「¿나도」 ✪ ♧ ◈햄붜겨늰◈ ☆ 좄지맍... ≥ㅃ≤¯ ㅋ¿ㅋ,◊냐됴◊ ≥ㅅ≤ 〃☆〃 핾버거는 죹쥐뫈... 긊싞충들이 『먹는』 궈˜ 〃○♧○〃 뵤멵 좀 ♥ ●꺼려지더라● ♥ T^T ㅋㅋ ✩,"['2-1', '1-4', '13-2']"
보통 몇분걸려요? 저는 20-30분,보통 몇분걸려요?저는 20-30분 걸리는데 한남충들은 3분컷 아닌가요? ㅋㅋ,보통 下右롱 걸령요? 전는 20-30분,볻통 下右롱테잌유? 전는 20-30분 걸린는데 한男충들恩 3분컷 아닌가요? ㅋㅋ,"['8-3', '2-2', '8-2']"
샴 이라는 고양인데 애교가 침 많은 고양이래^^,샴 고양이는 애교도 많지만 병X같이 집착하는 성격이라 키우기 힘들대,샴 이라는 고인양데 액굑가 칢 많은 공양잁래^^,샴 고양이늖 앩굧도 많짐만 병같X이 집착하는 성이격라 킹욲기 힘들대,"['11', '2-2', '1-4']"
다같이 들어와서 하는 건 없어? ㅋㅋ,다같이 들어와서 김치녀들처럼 시간만 때우는 거야? 헿,다같이 트러와써 ㈛는 껀 업써? ㅋㅋ,타캍이 ⊆러와서 김치녀들처럼 시감만 때우는 커야? 헿,"['1-5', '5-1', '1-1']"
2인인 줄 알고 좋아했대 ㅋㅋ,2인인 줄 알고 좋댔는데 알고보니 또라이네 ㅋㅋ,2이닍 줄 알꼬 초아앳때 ㅋㅋ,2이닌 쭗 알코 조탠는데 앏고보니 또라이네 ㅋㅋ,"['1-5', '1-1', '1-4']"
어디서부터 시작해야 할지 모르겠네...,이 멍청이들아... 어디서부터 시작해야 할지 도대체 모르겠네...,어디서부터 시작해야 할찌 몰륵겠네...,이 멍청이들타... 어디서부터 시자캐야 할지 돋댇체 몰륵겟네...,"['1-4', '2-2', '1-5']"
탄수화물은 과잉섭취하면 지방으로 바뀌잖아,탄수화물 많이 먹으면 살찌는 거 뻔한데 무식한 돼지들은 계속 쳐먹겠지,탄수화롬은 과잉섭취하면 지방으로 뱌뀌쟍야,탄수화롬 맍이 멱의면 샬쮜늰 거 뿮햕데 무식ㅋ우 돼쥐딅읜 계속 쳐멐겣지,"['2-1', '6-1', '1-4']"
난 스카이다이빙 해보고 싶다,난 개미X들 머리 위로 스카이다이빙 해보고 싶다,난스카이다이빙海보高싶ㅓコ,난개米X들머리위로스ㅓ匕ㅓ⊃IO이빙해보고싶다,"['6-1', '8-2', '10']"
나는 상대방이 주춤거리거나 하는 사이에 타이밍을 뺏어서 돌파해.,나는 상대방이 주춤거리거나 하는 사이에 찌질이처럼 타이밍 뺏어서 돌파해.,나는 쌍태빵이 주리거거춤나 한는 상잉에 타밍이을 뺏어써 똘팡해.,나는 상방대이 추춤커리꺼나 한는 쌍잉에 찌찔이처럼 탕임밍 뺏어서 돌해파.,"['11', '1-1', '2-2']"
안마의자 완전 강추야 그거 받고나면 시원하더라구,안마의자 존나 오졌음 완전 쩔더라 존나 시원하더라구,an의마jㅏ 완전 강chu야 그거 받고나면 시원게더라 nine,안마체어 jonna awesome졌 완전 쩔더라 jonna Sㅣ원하더라고,"['8-2', '11', '8-1']"
ㅋㅋ 진짜? 짱 웃겨 ㅋㅋ 진심,ㅋㅋ 진짜 개웃기네 ㅋㅋㅋ 존나 레전드 아님?,ㅋㅋ 쥔쨔? 쨩 웃 겨  친 씸,ㅋ ㅋ 쥔쨔 개윳귀네  존나 레쩐트 아님 ?,"['2-1', '1-1', '10']"
